날짜,종목코드,Close,Open,High,Low,Volume,일별수익률,변동성(20일),종목명,시장구분
2009-11-09,005930,14480,14539,14640,14440,269437,,,삼성전자,KOSPI
2009-11-10,005930,14540,14680,14720,14479,392417,0.004143646408839796,,삼성전자,KOSPI
2009-11-11,005930,14700,14640,14700,14320,319873,0.011004126547455195,,삼성전자,KOSPI
2009-11-12,005930,14400,14739,14860,14400,494977,-0.020408163265306145,,삼성전자,KOSPI
2009-11-13,005930,14280,14480,14540,14180,431814,-0.008333333333333304,,삼성전자,KOSPI
2009-11-16,005930,14660,14399,14660,14280,401434,0.026610644257702987,,삼성전자,KOSPI
2009-11-17,005930,14560,14760,14820,14519,360325,-0.006821282401091366,,삼성전자,KOSPI
2009-11-18,005930,15000,14700,15000,14640,593061,0.030219780219780112,,삼성전자,KOSPI
2009-11-19,005930,15180,15000,15300,15000,455114,0.01200000000000001,,삼성전자,KOSPI
2009-11-20,005930,15100,15019,15220,14920,343361,-0.005270092226614009,,삼성전자,KOSPI
2009-11-23,005930,15180,15219,15280,15020,288180,0.005298013245033095,,삼성전자,KOSPI
2009-11-24,005930,14840,15220,15260,14820,354539,-0.022397891963109373,,삼성전자,KOSPI
2009-11-25,005930,14980,14839,14980,14800,212706,0.009433962264151052,,삼성전자,KOSPI
2009-11-26,005930,14860,14980,15140,14860,236268,-0.008010680907877155,,삼성전자,KOSPI
2009-11-27,005930,14240,14599,14780,14240,463339,-0.04172274562584122,,삼성전자,KOSPI
2009-11-30,005930,14400,14460,14640,14380,376335,0.011235955056179803,,삼성전자,KOSPI
2009-12-01,005930,14740,14399,14740,14359,345641,0.023611111111111027,,삼성전자,KOSPI
2009-12-02,005930,14940,14860,15000,14799,334794,0.013568521031207537,,삼성전자,KOSPI
2009-12-03,005930,15180,15039,15200,14939,320498,0.016064257028112428,,삼성전자,KOSPI
2009-12-04,005930,15240,15160,15340,15099,366960,0.0039525691699604515,321.69779869344876,삼성전자,KOSPI
2009-12-07,005930,15420,15400,15540,15260,329583,0.011811023622047223,344.20923869065507,삼성전자,KOSPI
2009-12-08,005930,15440,15419,15520,15340,201922,0.0012970168612191912,363.68146849450045,삼성전자,KOSPI
2009-12-09,005930,15560,15240,15639,15220,356783,0.007772020725388629,392.5892456365487,삼성전자,KOSPI
2009-12-10,005930,15760,15420,15759,15320,891683,0.01285347043701801,416.64828029608515,삼성전자,KOSPI
2009-12-11,005930,15700,15800,15940,15659,325591,-0.0038071065989847552,412.4113939923799,삼성전자,KOSPI
2009-12-14,005930,15580,15700,15800,15439,310154,-0.007643312101910826,418.00906562821064,삼성전자,KOSPI
2009-12-15,005930,15540,15599,15620,15440,245432,-0.0025673940949936247,409.34350521677925,삼성전자,KOSPI
